dim,cell_type,modality,trial,task,file,sum_stat,baseline_pct,umap_pct,scale,clip,clip_soft,label_dim
11,BasalGanglia-CN-MEIS2-GABA,RNAplus,BasalGanglia-CN-MEIS2-GABA_RNAplus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-CN-MEIS2-GABA_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,11
12,BasalGanglia-CN-ST18-GABA,ATAC,BasalGanglia-CN-ST18-GABA_ATAC,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-CN-ST18-GABA_ATAC.h5,mean,0.5,0.5,80.0,3.2,0.8,12
13,BasalGanglia-CN-ST18-GABA,K27Ac,BasalGanglia-CN-ST18-GABA_K27Ac,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-CN-ST18-GABA_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,13
14,BasalGanglia-CN-ST18-GABA,K27Me3,BasalGanglia-CN-ST18-GABA_K27Me3,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-CN-ST18-GABA_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,14
15,BasalGanglia-CN-ST18-GABA,K9Me3,BasalGanglia-CN-ST18-GABA_K9Me3,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-CN-ST18-GABA_K9Me3.h5,mean,0.5,0.5,5.5,48.0,12.0,15
16,BasalGanglia-CN-ST18-GABA,RNAminus,BasalGanglia-CN-ST18-GABA_RNAminus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-CN-ST18-GABA_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,16
17,BasalGanglia-CN-ST18-GABA,RNAplus,BasalGanglia-CN-ST18-GABA_RNAplus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-CN-ST18-GABA_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,17
18,BasalGanglia-F-GABA,ATAC,BasalGanglia-F-GABA_ATAC,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-F-GABA_ATAC.h5,mean,0.5,0.5,80.0,3.2,0.8,18
19,BasalGanglia-F-GABA,K27Ac,BasalGanglia-F-GABA_K27Ac,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-F-GABA_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,19
20,BasalGanglia-F-GABA,K27Me3,BasalGanglia-F-GABA_K27Me3,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-F-GABA_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,20
21,BasalGanglia-F-GABA,K9Me3,BasalGanglia-F-GABA_K9Me3,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-F-GABA_K9Me3.h5,mean,0.5,0.5,5.5,48.0,12.0,21
22,BasalGanglia-F-GABA,RNAminus,BasalGanglia-F-GABA_RNAminus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-F-GABA_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,22
23,BasalGanglia-F-GABA,RNAplus,BasalGanglia-F-GABA_RNAplus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-F-GABA_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,23
24,BasalGanglia-F-Glut,ATAC,BasalGanglia-F-Glut_ATAC,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-F-Glut_ATAC.h5,mean,0.5,0.5,80.0,3.2,0.8,24
25,BasalGanglia-F-Glut,K27Ac,BasalGanglia-F-Glut_K27Ac,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-F-Glut_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,25
26,BasalGanglia-F-Glut,K27Me3,BasalGanglia-F-Glut_K27Me3,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-F-Glut_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,26
27,BasalGanglia-F-Glut,K9Me3,BasalGanglia-F-Glut_K9Me3,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-F-Glut_K9Me3.h5,mean,0.5,0.5,5.5,48.0,12.0,27
28,BasalGanglia-F-Glut,RNAminus,BasalGanglia-F-Glut_RNAminus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-F-Glut_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,28
29,BasalGanglia-F-Glut,RNAplus,BasalGanglia-F-Glut_RNAplus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-F-Glut_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,29
30,BasalGanglia-F-M-GATA3-GABA,ATAC,BasalGanglia-F-M-GATA3-GABA_ATAC,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-F-M-GATA3-GABA_ATAC.h5,mean,0.5,0.5,80.0,3.2,0.8,30
31,BasalGanglia-F-M-GATA3-GABA,K27Ac,BasalGanglia-F-M-GATA3-GABA_K27Ac,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-F-M-GATA3-GABA_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,31
32,BasalGanglia-F-M-GATA3-GABA,K27Me3,BasalGanglia-F-M-GATA3-GABA_K27Me3,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-F-M-GATA3-GABA_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,32
33,BasalGanglia-F-M-GATA3-GABA,K9Me3,BasalGanglia-F-M-GATA3-GABA_K9Me3,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-F-M-GATA3-GABA_K9Me3.h5,mean,0.5,0.5,5.5,48.0,12.0,33
34,BasalGanglia-F-M-GATA3-GABA,RNAminus,BasalGanglia-F-M-GATA3-GABA_RNAminus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-F-M-GATA3-GABA_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,34
35,BasalGanglia-F-M-GATA3-GABA,RNAplus,BasalGanglia-F-M-GATA3-GABA_RNAplus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-F-M-GATA3-GABA_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,35
36,BasalGanglia-F-M-Glut,ATAC,BasalGanglia-F-M-Glut_ATAC,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-F-M-Glut_ATAC.h5,mean,0.5,0.5,80.0,3.2,0.8,36
37,BasalGanglia-F-M-Glut,K27Ac,BasalGanglia-F-M-Glut_K27Ac,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-F-M-Glut_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,37
38,BasalGanglia-F-M-Glut,K27Me3,BasalGanglia-F-M-Glut_K27Me3,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-F-M-Glut_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,38
39,BasalGanglia-F-M-Glut,K9Me3,BasalGanglia-F-M-Glut_K9Me3,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-F-M-Glut_K9Me3.h5,mean,0.5,0.5,5.5,48.0,12.0,39
40,BasalGanglia-F-M-Glut,RNAminus,BasalGanglia-F-M-Glut_RNAminus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-F-M-Glut_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,40
41,BasalGanglia-F-M-Glut,RNAplus,BasalGanglia-F-M-Glut_RNAplus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-F-M-Glut_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,41
42,BasalGanglia-Microglia,ATAC,BasalGanglia-Microglia_ATAC,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-Microglia_ATAC.h5,mean,0.5,0.5,80.0,3.2,0.8,42
43,BasalGanglia-Microglia,K27Ac,BasalGanglia-Microglia_K27Ac,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-Microglia_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,43
44,BasalGanglia-Microglia,K27Me3,BasalGanglia-Microglia_K27Me3,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-Microglia_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,44
45,BasalGanglia-Microglia,K9Me3,BasalGanglia-Microglia_K9Me3,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-Microglia_K9Me3.h5,mean,0.5,0.5,5.5,48.0,12.0,45
46,BasalGanglia-Microglia,RNAminus,BasalGanglia-Microglia_RNAminus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-Microglia_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,46
47,BasalGanglia-Microglia,RNAplus,BasalGanglia-Microglia_RNAplus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-Microglia_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,47
48,BasalGanglia-OPC,ATAC,BasalGanglia-OPC_ATAC,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-OPC_ATAC.h5,mean,0.5,0.5,80.0,3.2,0.8,48
49,BasalGanglia-OPC,K27Ac,BasalGanglia-OPC_K27Ac,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-OPC_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,49
50,BasalGanglia-OPC,K27Me3,BasalGanglia-OPC_K27Me3,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-OPC_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,50
51,BasalGanglia-OPC,K9Me3,BasalGanglia-OPC_K9Me3,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-OPC_K9Me3.h5,mean,0.5,0.5,5.5,48.0,12.0,51
52,BasalGanglia-OPC,RNAminus,BasalGanglia-OPC_RNAminus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-OPC_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,52
53,BasalGanglia-OPC,RNAplus,BasalGanglia-OPC_RNAplus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-OPC_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,53
54,BasalGanglia-OT-Granular-GABA,ATAC,BasalGanglia-OT-Granular-GABA_ATAC,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-OT-Granular-GABA_ATAC.h5,mean,0.5,0.5,80.0,3.2,0.8,54
55,BasalGanglia-OT-Granular-GABA,K27Ac,BasalGanglia-OT-Granular-GABA_K27Ac,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-OT-Granular-GABA_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,55
56,BasalGanglia-OT-Granular-GABA,K27Me3,BasalGanglia-OT-Granular-GABA_K27Me3,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-OT-Granular-GABA_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,56
57,BasalGanglia-OT-Granular-GABA,K9Me3,BasalGanglia-OT-Granular-GABA_K9Me3,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-OT-Granular-GABA_K9Me3.h5,mean,0.5,0.5,5.5,48.0,12.0,57
58,BasalGanglia-OT-Granular-GABA,RNAminus,BasalGanglia-OT-Granular-GABA_RNAminus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-OT-Granular-GABA_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,58
59,BasalGanglia-OT-Granular-GABA,RNAplus,BasalGanglia-OT-Granular-GABA_RNAplus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-OT-Granular-GABA_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,59
60,BasalGanglia-Oligodendrocyte,ATAC,BasalGanglia-Oligodendrocyte_ATAC,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-Oligodendrocyte_ATAC.h5,mean,0.5,0.5,80.0,3.2,0.8,60
61,BasalGanglia-Oligodendrocyte,K27Ac,BasalGanglia-Oligodendrocyte_K27Ac,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-Oligodendrocyte_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,61
62,BasalGanglia-Oligodendrocyte,K27Me3,BasalGanglia-Oligodendrocyte_K27Me3,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-Oligodendrocyte_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,62
63,BasalGanglia-Oligodendrocyte,K9Me3,BasalGanglia-Oligodendrocyte_K9Me3,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-Oligodendrocyte_K9Me3.h5,mean,0.5,0.5,5.5,48.0,12.0,63
64,BasalGanglia-Oligodendrocyte,RNAminus,BasalGanglia-Oligodendrocyte_RNAminus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-Oligodendrocyte_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,64
65,BasalGanglia-Oligodendrocyte,RNAplus,BasalGanglia-Oligodendrocyte_RNAplus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-Oligodendrocyte_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,65
66,BasalGanglia-STR-D1-MSN,ATAC,BasalGanglia-STR-D1-MSN_ATAC,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-STR-D1-MSN_ATAC.h5,mean,0.5,0.5,80.0,3.2,0.8,66
67,BasalGanglia-STR-D1-MSN,K27Ac,BasalGanglia-STR-D1-MSN_K27Ac,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-STR-D1-MSN_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,67
68,BasalGanglia-STR-D1-MSN,K27Me3,BasalGanglia-STR-D1-MSN_K27Me3,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-STR-D1-MSN_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,68
69,BasalGanglia-STR-D1-MSN,K9Me3,BasalGanglia-STR-D1-MSN_K9Me3,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-STR-D1-MSN_K9Me3.h5,mean,0.5,0.5,5.5,48.0,12.0,69
70,BasalGanglia-STR-D1-MSN,RNAminus,BasalGanglia-STR-D1-MSN_RNAminus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-STR-D1-MSN_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,70
71,BasalGanglia-STR-D1-MSN,RNAplus,BasalGanglia-STR-D1-MSN_RNAplus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-STR-D1-MSN_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,71
72,BasalGanglia-STR-D2-MSN,ATAC,BasalGanglia-STR-D2-MSN_ATAC,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-STR-D2-MSN_ATAC.h5,mean,0.5,0.5,80.0,3.2,0.8,72
73,BasalGanglia-STR-D2-MSN,K27Ac,BasalGanglia-STR-D2-MSN_K27Ac,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-STR-D2-MSN_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,73
74,BasalGanglia-STR-D2-MSN,K27Me3,BasalGanglia-STR-D2-MSN_K27Me3,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-STR-D2-MSN_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,74
75,BasalGanglia-STR-D2-MSN,K9Me3,BasalGanglia-STR-D2-MSN_K9Me3,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-STR-D2-MSN_K9Me3.h5,mean,0.5,0.5,5.5,48.0,12.0,75
76,BasalGanglia-STR-D2-MSN,RNAminus,BasalGanglia-STR-D2-MSN_RNAminus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-STR-D2-MSN_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,76
77,BasalGanglia-STR-D2-MSN,RNAplus,BasalGanglia-STR-D2-MSN_RNAplus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-STR-D2-MSN_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,77
78,BasalGanglia-STR-Hybrid-MSN,ATAC,BasalGanglia-STR-Hybrid-MSN_ATAC,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-STR-Hybrid-MSN_ATAC.h5,mean,0.5,0.5,80.0,3.2,0.8,78
79,BasalGanglia-STR-Hybrid-MSN,K27Ac,BasalGanglia-STR-Hybrid-MSN_K27Ac,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-STR-Hybrid-MSN_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,79
80,BasalGanglia-STR-Hybrid-MSN,K27Me3,BasalGanglia-STR-Hybrid-MSN_K27Me3,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-STR-Hybrid-MSN_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,80
81,BasalGanglia-STR-Hybrid-MSN,K9Me3,BasalGanglia-STR-Hybrid-MSN_K9Me3,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-STR-Hybrid-MSN_K9Me3.h5,mean,0.5,0.5,5.5,48.0,12.0,81
82,BasalGanglia-STR-Hybrid-MSN,RNAminus,BasalGanglia-STR-Hybrid-MSN_RNAminus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-STR-Hybrid-MSN_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,82
83,BasalGanglia-STR-Hybrid-MSN,RNAplus,BasalGanglia-STR-Hybrid-MSN_RNAplus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_BasalGanglia-STR-Hybrid-MSN_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,83
84,MiniAtlas-ACBGM,ATAC,MiniAtlas-ACBGM_ATAC,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-ACBGM_ATAC.h5,mean,0.5,0.5,0.375,768.0,256.0,84
85,MiniAtlas-ACBGM,K27Ac,MiniAtlas-ACBGM_K27Ac,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-ACBGM_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,85
86,MiniAtlas-ACBGM,K27Me3,MiniAtlas-ACBGM_K27Me3,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-ACBGM_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,86
88,MiniAtlas-ACBGM,RNAminus,MiniAtlas-ACBGM_RNAminus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-ACBGM_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,87
89,MiniAtlas-ACBGM,RNAplus,MiniAtlas-ACBGM_RNAplus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-ACBGM_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,88
90,MiniAtlas-AST,ATAC,MiniAtlas-AST_ATAC,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-AST_ATAC.h5,mean,0.5,0.5,0.375,768.0,256.0,89
91,MiniAtlas-AST,K27Ac,MiniAtlas-AST_K27Ac,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-AST_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,90
92,MiniAtlas-AST,K27Me3,MiniAtlas-AST_K27Me3,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-AST_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,91
94,MiniAtlas-AST,RNAminus,MiniAtlas-AST_RNAminus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-AST_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,92
95,MiniAtlas-AST,RNAplus,MiniAtlas-AST_RNAplus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-AST_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,93
96,MiniAtlas-CBGA,ATAC,MiniAtlas-CBGA_ATAC,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-CBGA_ATAC.h5,mean,0.5,0.5,0.375,768.0,256.0,94
97,MiniAtlas-CBGA,K27Ac,MiniAtlas-CBGA_K27Ac,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-CBGA_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,95
98,MiniAtlas-CBGA,K27Me3,MiniAtlas-CBGA_K27Me3,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-CBGA_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,96
100,MiniAtlas-CBGA,RNAminus,MiniAtlas-CBGA_RNAminus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-CBGA_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,97
101,MiniAtlas-CBGA,RNAplus,MiniAtlas-CBGA_RNAplus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-CBGA_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,98
102,MiniAtlas-L23IT,ATAC,MiniAtlas-L23IT_ATAC,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L23IT_ATAC.h5,mean,0.5,0.5,0.375,768.0,256.0,99
103,MiniAtlas-L23IT,K27Ac,MiniAtlas-L23IT_K27Ac,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L23IT_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,100
104,MiniAtlas-L23IT,K27Me3,MiniAtlas-L23IT_K27Me3,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L23IT_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,101
