dim,cell_type,modality,trial,task,file,sum_stat,baseline_pct,umap_pct,scale,clip,clip_soft,label_dim
16,BasalGanglia-CN-Cholinergic-GABA,RNAminus,BasalGanglia-CN-Cholinergic-GABA_RNAminus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-CN-Cholinergic-GABA_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,16
17,BasalGanglia-CN-Cholinergic-GABA,RNAplus,BasalGanglia-CN-Cholinergic-GABA_RNAplus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-CN-Cholinergic-GABA_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,17
18,BasalGanglia-CN-GABA-Glut,ATAC,BasalGanglia-CN-GABA-Glut_ATAC,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-CN-GABA-Glut_ATAC.h5,mean,0.5,0.5,80.0,3.2,0.8,18
19,BasalGanglia-CN-GABA-Glut,K27Ac,BasalGanglia-CN-GABA-Glut_K27Ac,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-CN-GABA-Glut_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,19
20,BasalGanglia-CN-GABA-Glut,K27Me3,BasalGanglia-CN-GABA-Glut_K27Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-CN-GABA-Glut_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,20
21,BasalGanglia-CN-GABA-Glut,K9Me3,BasalGanglia-CN-GABA-Glut_K9Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-CN-GABA-Glut_K9Me3.h5,mean,0.5,0.5,5.5,48.0,12.0,21
22,BasalGanglia-CN-GABA-Glut,RNAminus,BasalGanglia-CN-GABA-Glut_RNAminus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-CN-GABA-Glut_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,22
23,BasalGanglia-CN-GABA-Glut,RNAplus,BasalGanglia-CN-GABA-Glut_RNAplus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-CN-GABA-Glut_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,23
24,BasalGanglia-CN-LAMP5-CXCL14-GABA,ATAC,BasalGanglia-CN-LAMP5-CXCL14-GABA_ATAC,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-CN-LAMP5-CXCL14-GABA_ATAC.h5,mean,0.5,0.5,80.0,3.2,0.8,24
25,BasalGanglia-CN-LAMP5-CXCL14-GABA,K27Ac,BasalGanglia-CN-LAMP5-CXCL14-GABA_K27Ac,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-CN-LAMP5-CXCL14-GABA_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,25
26,BasalGanglia-CN-LAMP5-CXCL14-GABA,K27Me3,BasalGanglia-CN-LAMP5-CXCL14-GABA_K27Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-CN-LAMP5-CXCL14-GABA_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,26
27,BasalGanglia-CN-LAMP5-CXCL14-GABA,K9Me3,BasalGanglia-CN-LAMP5-CXCL14-GABA_K9Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-CN-LAMP5-CXCL14-GABA_K9Me3.h5,mean,0.5,0.5,5.5,48.0,12.0,27
28,BasalGanglia-CN-LAMP5-CXCL14-GABA,RNAminus,BasalGanglia-CN-LAMP5-CXCL14-GABA_RNAminus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-CN-LAMP5-CXCL14-GABA_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,28
29,BasalGanglia-CN-LAMP5-CXCL14-GABA,RNAplus,BasalGanglia-CN-LAMP5-CXCL14-GABA_RNAplus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-CN-LAMP5-CXCL14-GABA_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,29
30,BasalGanglia-CN-LAMP5-LHX6-GABA,ATAC,BasalGanglia-CN-LAMP5-LHX6-GABA_ATAC,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-CN-LAMP5-LHX6-GABA_ATAC.h5,mean,0.5,0.5,80.0,3.2,0.8,30
31,BasalGanglia-CN-LAMP5-LHX6-GABA,K27Ac,BasalGanglia-CN-LAMP5-LHX6-GABA_K27Ac,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-CN-LAMP5-LHX6-GABA_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,31
32,BasalGanglia-CN-LAMP5-LHX6-GABA,K27Me3,BasalGanglia-CN-LAMP5-LHX6-GABA_K27Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-CN-LAMP5-LHX6-GABA_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,32
33,BasalGanglia-CN-LAMP5-LHX6-GABA,K9Me3,BasalGanglia-CN-LAMP5-LHX6-GABA_K9Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-CN-LAMP5-LHX6-GABA_K9Me3.h5,mean,0.5,0.5,5.5,48.0,12.0,33
34,BasalGanglia-CN-LAMP5-LHX6-GABA,RNAminus,BasalGanglia-CN-LAMP5-LHX6-GABA_RNAminus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-CN-LAMP5-LHX6-GABA_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,34
35,BasalGanglia-CN-LAMP5-LHX6-GABA,RNAplus,BasalGanglia-CN-LAMP5-LHX6-GABA_RNAplus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-CN-LAMP5-LHX6-GABA_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,35
36,BasalGanglia-CN-LHX8-GABA,ATAC,BasalGanglia-CN-LHX8-GABA_ATAC,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-CN-LHX8-GABA_ATAC.h5,mean,0.5,0.5,80.0,3.2,0.8,36
37,BasalGanglia-CN-LHX8-GABA,K27Ac,BasalGanglia-CN-LHX8-GABA_K27Ac,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-CN-LHX8-GABA_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,37
38,BasalGanglia-CN-LHX8-GABA,K27Me3,BasalGanglia-CN-LHX8-GABA_K27Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-CN-LHX8-GABA_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,38
39,BasalGanglia-CN-LHX8-GABA,K9Me3,BasalGanglia-CN-LHX8-GABA_K9Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-CN-LHX8-GABA_K9Me3.h5,mean,0.5,0.5,5.5,48.0,12.0,39
40,BasalGanglia-CN-LHX8-GABA,RNAminus,BasalGanglia-CN-LHX8-GABA_RNAminus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-CN-LHX8-GABA_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,40
41,BasalGanglia-CN-LHX8-GABA,RNAplus,BasalGanglia-CN-LHX8-GABA_RNAplus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-CN-LHX8-GABA_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,41
42,BasalGanglia-CN-MEIS2-GABA,ATAC,BasalGanglia-CN-MEIS2-GABA_ATAC,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-CN-MEIS2-GABA_ATAC.h5,mean,0.5,0.5,80.0,3.2,0.8,42
43,BasalGanglia-CN-MEIS2-GABA,K27Ac,BasalGanglia-CN-MEIS2-GABA_K27Ac,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-CN-MEIS2-GABA_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,43
44,BasalGanglia-CN-MEIS2-GABA,K27Me3,BasalGanglia-CN-MEIS2-GABA_K27Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-CN-MEIS2-GABA_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,44
45,BasalGanglia-CN-MEIS2-GABA,K9Me3,BasalGanglia-CN-MEIS2-GABA_K9Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-CN-MEIS2-GABA_K9Me3.h5,mean,0.5,0.5,5.5,48.0,12.0,45
46,BasalGanglia-CN-MEIS2-GABA,RNAminus,BasalGanglia-CN-MEIS2-GABA_RNAminus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-CN-MEIS2-GABA_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,46
47,BasalGanglia-CN-MEIS2-GABA,RNAplus,BasalGanglia-CN-MEIS2-GABA_RNAplus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-CN-MEIS2-GABA_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,47
48,BasalGanglia-CN-ONECUT1-GABA,ATAC,BasalGanglia-CN-ONECUT1-GABA_ATAC,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-CN-ONECUT1-GABA_ATAC.h5,mean,0.5,0.5,80.0,3.2,0.8,48
49,BasalGanglia-CN-ONECUT1-GABA,K27Ac,BasalGanglia-CN-ONECUT1-GABA_K27Ac,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-CN-ONECUT1-GABA_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,49
50,BasalGanglia-CN-ONECUT1-GABA,K27Me3,BasalGanglia-CN-ONECUT1-GABA_K27Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-CN-ONECUT1-GABA_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,50
51,BasalGanglia-CN-ONECUT1-GABA,K9Me3,BasalGanglia-CN-ONECUT1-GABA_K9Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-CN-ONECUT1-GABA_K9Me3.h5,mean,0.5,0.5,5.5,48.0,12.0,51
52,BasalGanglia-CN-ONECUT1-GABA,RNAminus,BasalGanglia-CN-ONECUT1-GABA_RNAminus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-CN-ONECUT1-GABA_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,52
53,BasalGanglia-CN-ONECUT1-GABA,RNAplus,BasalGanglia-CN-ONECUT1-GABA_RNAplus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-CN-ONECUT1-GABA_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,53
54,BasalGanglia-CN-ST18-GABA,ATAC,BasalGanglia-CN-ST18-GABA_ATAC,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-CN-ST18-GABA_ATAC.h5,mean,0.5,0.5,80.0,3.2,0.8,54
55,BasalGanglia-CN-ST18-GABA,K27Ac,BasalGanglia-CN-ST18-GABA_K27Ac,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-CN-ST18-GABA_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,55
56,BasalGanglia-CN-ST18-GABA,K27Me3,BasalGanglia-CN-ST18-GABA_K27Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-CN-ST18-GABA_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,56
57,BasalGanglia-CN-ST18-GABA,K9Me3,BasalGanglia-CN-ST18-GABA_K9Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-CN-ST18-GABA_K9Me3.h5,mean,0.5,0.5,5.5,48.0,12.0,57
58,BasalGanglia-CN-ST18-GABA,RNAminus,BasalGanglia-CN-ST18-GABA_RNAminus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-CN-ST18-GABA_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,58
59,BasalGanglia-CN-ST18-GABA,RNAplus,BasalGanglia-CN-ST18-GABA_RNAplus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-CN-ST18-GABA_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,59
60,BasalGanglia-CN-VIP-GABA,ATAC,BasalGanglia-CN-VIP-GABA_ATAC,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-CN-VIP-GABA_ATAC.h5,mean,0.5,0.5,80.0,3.2,0.8,60
61,BasalGanglia-CN-VIP-GABA,K27Ac,BasalGanglia-CN-VIP-GABA_K27Ac,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-CN-VIP-GABA_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,61
62,BasalGanglia-CN-VIP-GABA,K27Me3,BasalGanglia-CN-VIP-GABA_K27Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-CN-VIP-GABA_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,62
63,BasalGanglia-CN-VIP-GABA,K9Me3,BasalGanglia-CN-VIP-GABA_K9Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-CN-VIP-GABA_K9Me3.h5,mean,0.5,0.5,5.5,48.0,12.0,63
64,BasalGanglia-CN-VIP-GABA,RNAminus,BasalGanglia-CN-VIP-GABA_RNAminus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-CN-VIP-GABA_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,64
65,BasalGanglia-CN-VIP-GABA,RNAplus,BasalGanglia-CN-VIP-GABA_RNAplus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-CN-VIP-GABA_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,65
66,BasalGanglia-COP,ATAC,BasalGanglia-COP_ATAC,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-COP_ATAC.h5,mean,0.5,0.5,80.0,3.2,0.8,66
67,BasalGanglia-COP,K27Ac,BasalGanglia-COP_K27Ac,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-COP_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,67
68,BasalGanglia-COP,K27Me3,BasalGanglia-COP_K27Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-COP_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,68
69,BasalGanglia-COP,K9Me3,BasalGanglia-COP_K9Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-COP_K9Me3.h5,mean,0.5,0.5,5.5,48.0,12.0,69
70,BasalGanglia-COP,RNAminus,BasalGanglia-COP_RNAminus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-COP_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,70
71,BasalGanglia-COP,RNAplus,BasalGanglia-COP_RNAplus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-COP_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,71
72,BasalGanglia-Endo,ATAC,BasalGanglia-Endo_ATAC,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-Endo_ATAC.h5,mean,0.5,0.5,80.0,3.2,0.8,72
73,BasalGanglia-Endo,K27Ac,BasalGanglia-Endo_K27Ac,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-Endo_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,73
74,BasalGanglia-Endo,K27Me3,BasalGanglia-Endo_K27Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-Endo_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,74
75,BasalGanglia-Endo,K9Me3,BasalGanglia-Endo_K9Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-Endo_K9Me3.h5,mean,0.5,0.5,5.5,48.0,12.0,75
76,BasalGanglia-Endo,RNAminus,BasalGanglia-Endo_RNAminus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-Endo_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,76
77,BasalGanglia-Endo,RNAplus,BasalGanglia-Endo_RNAplus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-Endo_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,77
78,BasalGanglia-Ependymal,ATAC,BasalGanglia-Ependymal_ATAC,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-Ependymal_ATAC.h5,mean,0.5,0.5,80.0,3.2,0.8,78
79,BasalGanglia-Ependymal,K27Ac,BasalGanglia-Ependymal_K27Ac,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-Ependymal_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,79
80,BasalGanglia-Ependymal,K27Me3,BasalGanglia-Ependymal_K27Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-Ependymal_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,80
81,BasalGanglia-Ependymal,K9Me3,BasalGanglia-Ependymal_K9Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-Ependymal_K9Me3.h5,mean,0.5,0.5,5.5,48.0,12.0,81
82,BasalGanglia-Ependymal,RNAminus,BasalGanglia-Ependymal_RNAminus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-Ependymal_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,82
83,BasalGanglia-Ependymal,RNAplus,BasalGanglia-Ependymal_RNAplus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-Ependymal_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,83
84,BasalGanglia-F-GABA,ATAC,BasalGanglia-F-GABA_ATAC,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-F-GABA_ATAC.h5,mean,0.5,0.5,80.0,3.2,0.8,84
85,BasalGanglia-F-GABA,K27Ac,BasalGanglia-F-GABA_K27Ac,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-F-GABA_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,85
86,BasalGanglia-F-GABA,K27Me3,BasalGanglia-F-GABA_K27Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-F-GABA_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,86
87,BasalGanglia-F-GABA,K9Me3,BasalGanglia-F-GABA_K9Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-F-GABA_K9Me3.h5,mean,0.5,0.5,5.5,48.0,12.0,87
88,BasalGanglia-F-GABA,RNAminus,BasalGanglia-F-GABA_RNAminus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-F-GABA_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,88
89,BasalGanglia-F-GABA,RNAplus,BasalGanglia-F-GABA_RNAplus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-F-GABA_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,89
90,BasalGanglia-F-Glut,ATAC,BasalGanglia-F-Glut_ATAC,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-F-Glut_ATAC.h5,mean,0.5,0.5,80.0,3.2,0.8,90
91,BasalGanglia-F-Glut,K27Ac,BasalGanglia-F-Glut_K27Ac,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-F-Glut_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,91
92,BasalGanglia-F-Glut,K27Me3,BasalGanglia-F-Glut_K27Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-F-Glut_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,92
93,BasalGanglia-F-Glut,K9Me3,BasalGanglia-F-Glut_K9Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-F-Glut_K9Me3.h5,mean,0.5,0.5,5.5,48.0,12.0,93
94,BasalGanglia-F-Glut,RNAminus,BasalGanglia-F-Glut_RNAminus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-F-Glut_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,94
95,BasalGanglia-F-Glut,RNAplus,BasalGanglia-F-Glut_RNAplus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-F-Glut_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,95
96,BasalGanglia-F-M-GATA3-GABA,ATAC,BasalGanglia-F-M-GATA3-GABA_ATAC,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-F-M-GATA3-GABA_ATAC.h5,mean,0.5,0.5,80.0,3.2,0.8,96
97,BasalGanglia-F-M-GATA3-GABA,K27Ac,BasalGanglia-F-M-GATA3-GABA_K27Ac,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-F-M-GATA3-GABA_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,97
98,BasalGanglia-F-M-GATA3-GABA,K27Me3,BasalGanglia-F-M-GATA3-GABA_K27Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-F-M-GATA3-GABA_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,98
99,BasalGanglia-F-M-GATA3-GABA,K9Me3,BasalGanglia-F-M-GATA3-GABA_K9Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-F-M-GATA3-GABA_K9Me3.h5,mean,0.5,0.5,5.5,48.0,12.0,99
